,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
0,"APPLE iPhone 13 (Starlight, 128 GB)","₹65,999","₹69,900",4.7,"1,61,593 Ratings & 8,794 Reviews",5% off,"1,61,593"," 8,794 Reviews"
1,"APPLE iPhone 13 (Pink, 128 GB)","₹65,999","₹69,900",4.7,"1,61,593 Ratings & 8,794 Reviews",5% off,"1,61,593"," 8,794 Reviews"
2,"APPLE iPhone 13 (Midnight, 128 GB)","₹65,999","₹69,900",4.7,"1,61,593 Ratings & 8,794 Reviews",5% off,"1,61,593"," 8,794 Reviews"
3,"APPLE iPhone 13 (Blue, 128 GB)","₹65,999","₹69,900",4.7,"1,61,593 Ratings & 8,794 Reviews",5% off,"1,61,593"," 8,794 Reviews"
4,"APPLE iPhone 13 (Green, 128 GB)","₹65,999","₹69,900",4.7,"1,61,593 Ratings & 8,794 Reviews",5% off,"1,61,593"," 8,794 Reviews"
5,"APPLE iPhone 11 (White, 128 GB)","₹48,900",Same Price,4.6,"1,69,249 Ratings & 10,056 Reviews",No offer this product,"1,69,249"," 10,056 Reviews"
6,"APPLE iPhone 11 (White, 64 GB)","₹39,999","₹43,990",4.6,"1,69,249 Ratings & 10,056 Reviews",9% off,"1,69,249"," 10,056 Reviews"
7,"APPLE iPhone 11 (Black, 64 GB)","₹39,999","₹43,900",4.6,"1,69,249 Ratings & 10,056 Reviews",8% off,"1,69,249"," 10,056 Reviews"
8,"APPLE iPhone 11 (Black, 128 GB)","₹48,900",Same Price,4.6,"1,69,249 Ratings & 10,056 Reviews",No offer this product,"1,69,249"," 10,056 Reviews"
9,"APPLE iPhone 11 (Purple, 64 GB)","₹39,999","₹43,900",4.6,"1,69,249 Ratings & 10,056 Reviews",8% off,"1,69,249"," 10,056 Reviews"
10,"APPLE iPhone 12 (Black, 64 GB)","₹48,999","₹59,900",4.6,"1,84,694 Ratings & 12,596 Reviews",18% off,"1,84,694"," 12,596 Reviews"
11,"APPLE iPhone 11 (Purple, 128 GB)","₹44,999","₹48,900",4.6,"1,69,249 Ratings & 10,056 Reviews",7% off,"1,69,249"," 10,056 Reviews"
12,"APPLE iPhone 12 (Blue, 64 GB)","₹48,999","₹59,900",4.6,"1,84,694 Ratings & 12,596 Reviews",18% off,"1,84,694"," 12,596 Reviews"
13,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹43,999","₹59,900",4.5,"1,18,327 Ratings & 9,450 Reviews",26% off,"1,18,327"," 9,450 Reviews"
14,"APPLE iPhone 11 (Green, 64 GB)","₹39,999","₹43,990",4.6,"1,69,249 Ratings & 10,056 Reviews",9% off,"1,69,249"," 10,056 Reviews"
15,"APPLE iPhone 12 Mini (Black, 64 GB)","₹43,999","₹59,900",4.5,"1,18,327 Ratings & 9,450 Reviews",26% off,"1,18,327"," 9,450 Reviews"
